"Date","Promo1","WorkDays1","Promo2","WorkDays2","Promo3","WorkDays3","Holiday","NewProducts","YellowZone","OrangeZone","RedZone"
"2019-12-02",0.0757083093548857,7,0.0862668228926962,7,0.0714561417225058,7,0,0,0,0,0
"2019-12-09",0.0646322522427268,7,0.0782525586763443,7,0.0788397755952061,7,0,0,0,0,0
"2019-12-16",0.10360508791882,7,0.118245356593262,7,0.101468740010769,7,1,0,0,0,0
"2019-12-23",0.0986776910191477,5,0.104764679778754,5,0.0962924328816789,5,1,0,0,0,0
"2019-12-30",0.0796072796235054,6,0.0944720833415566,6,0.0832187282308988,6,0,0,0,0,0
"2020-01-06",0.0782879272350364,7,0.104312246051789,7,0.0906450565913725,7,0,0,0,0,0
"2020-01-13",0.0917290428350393,7,0.116353599701562,7,0.117840080708308,7,0,0,0,0,0
"2020-01-20",0.109562415073933,7,0.106233400851713,7,0.107899583996652,7,0,0,0,0,0
"2020-01-27",0.0795544521626926,7,0.0970226207676607,7,0.0849221911111315,7,0,0,0,0,0
"2020-02-03",0.0849905993204791,7,0.0868791589167815,7,0.0784230760533875,7,1,0,0,0,0
"2020-02-10",0.0802142749393175,7,0.103390933830028,7,0.0917325739950825,7,0,0,0,0,0
"2020-02-17",0.0755855417851266,7,0.0917454872049854,7,0.0796714188638749,7,0,0,0,0,0
"2020-02-24",0.0620349172801321,7,0.0775220414628965,7,0.0656199527110195,7,0,0,0,0,0
"2020-03-02",0.150616911076354,7,0.17766497565996,7,0.153478765134889,7,0,1,0,0,0
"2020-03-09",0.11454585836227,7,0.141184904395961,6,0.117576652477149,7,0,1,1,0,0
"2020-03-16",0.0611080527678393,6,0.0702745052794863,6,0.0582062349978918,6,0,1,1,0,0
"2020-03-23",0.0607079967926514,6,0.0776397775059239,6,0.0622455779091171,6,0,1,0,0,1
"2020-03-30",0.0713714268612929,6,0.084896898681066,6,0.0681228862484759,6,1,0,0,0,1
"2020-04-06",0.084200167307355,6,0.0919549578629817,6,0.0743490462576732,6,0,0,0,0,1
"2020-04-13",0.0776424909870278,6,0.0866084606683955,5,0.0738066103967021,6,1,0,0,0,1
"2020-04-20",0.0767543093733732,6,0.0987325260555831,5,0.0780603560970221,6,1,0,0,0,1
"2020-04-27",0.0706992446222625,6,0.0813001373960352,5,0.0715000242711869,6,0,0,0,0,1
"2020-05-04",0.066911505124851,7,0.0823282624798263,7,0.0692589466615888,7,0,0,0,1,0
"2020-05-11",0.0802290867070075,7,0.0926520832597384,7,0.081331488295665,7,0,0,0,1,0
"2020-05-18",0.0696082697476506,7,0.0868917753872254,7,0.0713415487904534,7,0,0,1,0,0
"2020-05-25",0.0789144627412522,7,0.0935782804122228,7,0.0821885252506614,7,1,0,1,0,0
"2020-06-01",0.13556242025076,7,0.171253104870356,7,0.12394190213388,7,0,0,0,0,0
"2020-06-08",0.148386782015513,7,0.188982197233499,7,0.14141641944305,7,0,0,0,0,0
"2020-06-15",0.0808768376665917,7,0.0955256844967404,7,0.0799425614696618,7,0,0,0,0,0
"2020-06-22",0.073513508740242,7,0.0962879589555301,7,0.0767306640178658,7,0,0,0,0,0
"2020-06-29",0.0699472311601793,7,0.0935039526034945,7,0.0736188261750072,7,0,0,0,0,0
"2020-07-06",0.0673767604938128,7,0.0868078423824828,7,0.0652028349151635,7,0,0,0,0,0
"2020-07-13",0.079685209655429,7,0.109188277437938,7,0.100186242377441,7,0,0,0,0,0
"2020-07-20",0.0852020120409219,7,0.104902003411708,7,0.0946805018393553,7,0,0,0,0,0
"2020-07-27",0.0823482242294628,7,0.0949681216667308,7,0.0907914226828713,7,0,0,0,0,0
"2020-08-03",0.0735385376469422,7,0.0888876474212435,7,0.080628224658128,7,1,0,0,0,0
"2020-08-10",0.0792340623958372,7,0.098540447218764,7,0.0793455586274779,7,0,0,0,0,0
"2020-08-17",0.0754978833436047,7,0.096966100228386,7,0.0805182588574255,7,0,0,0,0,0
"2020-08-24",0.07299577692888,7,0.0944791663424201,7,0.0784659800874503,7,0,0,0,0,0
"2020-08-31",0.0680562642386656,7,0.082751893641982,7,0.0710119542536492,7,0,0,0,0,0
"2020-09-07",0.0769311373049475,7,0.097511562295186,7,0.0845092537890732,7,0,0,0,0,0
"2020-09-14",0.0814290257654521,7,0.105210391616481,7,0.0876708718388407,7,0,0,0,0,0
"2020-09-21",0.0874350174909091,7,0.128021541564105,7,0.0987794698693181,7,0,0,0,0,0
"2020-09-28",0.0765066107508826,7,0.113073212798434,7,0.0796028907620816,7,0,0,0,0,0
"2020-10-05",0.0810213036491478,7,0.101243450636922,7,0.0838211387721021,7,0,0,0,0,0
"2020-10-12",0.0798841737059225,7,0.100391832701281,7,0.0847870548268788,7,0,0,1,0,0
"2020-10-19",0.0775998391337034,7,0.103762303002754,7,0.0811722663082586,7,1,0,1,0,0
"2020-10-26",0.122457654528718,7,0.153080850770329,7,0.129465279715222,7,0,0,0,1,0
"2020-11-02",0.129366922226326,7,0.169884068594718,7,0.129704072873054,7,0,0,0,0,1
"2020-11-09",0.125463827953559,7,0.174200101454625,7,0.134106126570501,7,0,0,0,0,1
"2020-11-16",0.0773957055969804,7,0.120872467454462,7,0.0850623547153046,7,1,0,0,0,1
"2020-11-23",0.0698596067566137,7,0.0836124558964472,7,0.0720476124918094,7,0,0,0,0,1
"2020-11-30",0.0585823402774486,7,0.0899999019598688,7,0.071533817494826,7,1,0,0,1,0
"2020-12-07",0.0592775028826861,7,0.0798027927064931,7,0.0700132947318675,7,0,0,0,1,0
"2020-12-14",0.0830126448113606,7,0.104154502643652,7,0.0890723708263706,7,1,0,1,0,0
"2020-12-21",0.068552249534134,5,0.0877360076550221,5,0.072615024580509,5,1,0,0,0,1
"2020-12-28",0.0659680085852744,6,0.0861138200736529,6,0.0787095322298419,6,1,0,0,0,1
"2021-01-04",0.0657290411629917,7,0.0892370225126372,7,0.0741757292384957,7,0,0,0,0,1
"2021-01-11",0.0652564323281921,7,0.0977976533338546,7,0.0737066000393124,7,0,0,0,0,1
