"path","total_conversions","total_null"
"competitors1>display1>social paid2>competitors3",0,2
"competitors1>display2",3,6
"competitors1>display2>competitors2>display2>Email2>display2",1,0
"competitors1>display2>Email2",1,2
"competitors1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,2
"competitors1>display2>Email2>display2>Email2>display2>generics2>display2>generics2>display2",1,1
"competitors1>display2>Email2>display2>Email2>Email3",0,3
"competitors1>display2>Email2>Email3",0,2
"competitors1>display2>Email3",0,1
"competitors1>display2>Mailer2",0,1
"competitors1>display2>Mailer2>Mailer3",2,2
"competitors1>Email1>competitors1>display1>Email1>Email2",0,1
"competitors1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display2",1,2
"competitors1>Email1>display1>Email1>display1>Email1>Email2",0,1
"competitors1>Email1>display1>Email1>display1>Email1>Email2>Email3",0,1
"competitors1>Email1>display1>Email1>Email2>Email3",1,3
"competitors1>Email1>display1>Email2>Mailer2",0,1
"competitors1>Email1>display2",2,0
"competitors1>Email1>display2>Email2>Mailer2>Email2>Mailer2>display2>Email2>Mailer2>Email2>Email3>Mailer3>Email3>Mailer3>Email3",1,0
"competitors1>Email1>Email2",1,28
"competitors1>Email1>Email2>competitors2>Email2>display2>Email2>display2>Email2>Email3",0,2
"competitors1>Email1>Email2>competitors2>Email2>Email3",0,1
"competitors1>Email1>Email2>display2",0,1
"competitors1>Email1>Email2>display2>Email2",1,3
"competitors1>Email1>Email2>display2>Email2>display2>Email2>Email3",0,2
"competitors1>Email1>Email2>display2>Email2>Email3",1,4
"competitors1>Email1>Email2>display2>Email2>generics2>Email2>competitors2>display2>competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>competitors2>Email2>Email3",0,1
"competitors1>Email1>Email2>Email3",2,53
"competitors1>Email1>Email2>Email3>display3>Email3>display3>Email3>display3>Email3",1,1
"competitors1>Email1>Email2>Mailer2>Email2>Mailer2>Email2>Mailer3>Email3",0,1
"competitors1>Email1>generics1>Email1>Email2>Email3",0,2
"competitors1>Email2",1,47
"competitors1>Email2>competitors3>Email3",0,1
"competitors1>Email2>display2>Email2",0,2
"competitors1>Email2>display2>Email2>Email3",0,8
"competitors1>Email2>Email3",2,45
"competitors1>Email2>generics2>Email2",0,1
"competitors1>generics1>display1>competitors1>display2",0,1
"competitors1>generics1>display1>generics1>display1>Email2>display2>Email2>display2>Email2>Email3",0,1
"competitors1>generics1>display1>Mailer2",0,2
"competitors1>generics1>Email1>Email2",0,1
"competitors1>generics1>Email1>Email2>Email3",1,0
"competitors1>generics1>Email2>Email3",0,3
"competitors1>generics2>display2",1,0
"competitors1>generics2>display2>Email2>display2>Email2>display2",2,0
"competitors1>Mailer2",0,8
"competitors1>Mailer2>display3",2,0
"competitors1>social paid1>generics1>Email2>Email3",0,3
"competitors1>social paid1>generics1>generics2>Email2>display2>Email2>Email3",1,1
"competitors2",9,185
"competitors2>competitors3",0,4
"competitors2>competitors3>display3",1,1
"competitors2>competitors3>display3>competitors3>display3>competitors3>display3>generics3>competitors3",0,2
"competitors2>competitors3>display3>competitors3>display3>Email3",0,2
"competitors2>competitors3>display3>competitors3>display3>generics3>display3",2,0
"competitors2>competitors3>display3>competitors3>display3>Mailer3>display3>generics3>display3>generics3",0,1
"competitors2>competitors3>Email3",1,0
"competitors2>display2",18,44
"competitors2>display2>competitors2",0,1
"competitors2>display2>competitors2>display2",0,1
"competitors2>display2>competitors2>display2>competitors2",2,1
"competitors2>display2>competitors2>display2>Mailer2>Mailer3",0,1
"competitors2>display2>competitors2>display3",0,1
"competitors2>display2>competitors2>Email2",0,1
"competitors2>display2>competitors2>Email2>Email3",0,3
"competitors2>display2>competitors2>Email3",0,1
"competitors2>display2>competitors2>Mailer3",0,1
"competitors2>display2>competitors3",0,2
"competitors2>display2>display3",0,3
"competitors2>display2>Email2",3,41
"competitors2>display2>Email2>display2>competitors2>display2>generics2>competitors2>display2>generics2>Mailer2>Email2>Mailer2>Email2>Email3>Mailer3",1,1
"competitors2>display2>Email2>display2>competitors2>Email2>generics2>display2>generics2>Email2>Email3>display3>Email3>generics3>Email3>display3>Email3>competitors3>Email3>display3>Email3",0,1
"competitors2>display2>Email2>display2>display3",0,2
"competitors2>display2>Email2>display2>Email2",0,6
"competitors2>display2>Email2>display2>Email2>display2",1,0
"competitors2>display2>Email2>display2>Email2>display2>Email2",0,2
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2",1,0
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2",0,2
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3",0,1
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer3>Email3>Mailer3>Email3",1,0
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,2
"competitors2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3",1,0
"competitors2>display2>Email2>display2>Email2>display2>Email2>Email3",2,5
"competitors2>display2>Email2>display2>Email2>display2>Email2>Email3>display3",1,1
"competitors2>display2>Email2>display2>Email2>display2>Email3>display3>Email3>display3>Email3",0,1
"competitors2>display2>Email2>display2>Email2>Email3",0,9
"competitors2>display2>Email2>display2>Email2>Email3>competitors3>display3>competitors3>display3>competitors3>Email3",0,1
"competitors2>display2>Email2>display2>Email2>Email3>display3",0,3
"competitors2>display2>Email2>display2>Email2>generics2>Email2>Email3",1,0
"competitors2>display2>Email2>display2>generics2>Email2>Email3",1,3
"competitors2>display2>Email2>Email3",0,101
"competitors2>display2>Email2>Email3>competitors3>Email3",0,3
"competitors2>display2>Email2>Email3>display3>Email3",0,2
"competitors2>display2>Email2>Mailer2>Email2>Email3>Mailer3>Email3>Mailer3>Email3",1,0
"competitors2>display2>Email3",0,14
"competitors2>display2>Email3>display3>Email3",0,3
"competitors2>display2>generics2",0,1
"competitors2>display2>generics2>display2",1,0
"competitors2>display2>generics2>display2>display3",0,1
"competitors2>display2>generics2>display2>Email2>Email3",0,1
"competitors2>display2>generics2>display2>Mailer2>Mailer3",1,1
"competitors2>display2>generics2>display3",0,1
"competitors2>display2>generics2>Email2",0,2
"competitors2>display2>Mailer2",0,5
"competitors2>display2>Mailer2>competitors2>Mailer3",0,1
"competitors2>display2>Mailer2>display2>Mailer3",0,1
"competitors2>display2>Mailer2>Mailer3",0,3
"competitors2>display2>Mailer3",0,4
"competitors2>display2>social paid2",0,1
"competitors2>display3",3,12
"competitors2>display3>competitors3>display3",0,1
"competitors2>display3>competitors3>Email3",0,1
"competitors2>display3>Email3",0,5
"competitors2>Email2",0,190
"competitors2>Email2>competitors2",0,1
"competitors2>Email2>competitors2>display2>Email2>Email3>competitors3>display3>Email3>display3>Email3>display3>Email3",0,1
"competitors2>Email2>competitors2>Email2>display2>Email2>Email3",0,1
"competitors2>Email2>competitors2>Email2>Email3",1,0
"competitors2>Email2>competitors2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3",0,1
"competitors2>Email2>display2",1,3
"competitors2>Email2>display2>Email2",1,5
"competitors2>Email2>display2>Email2>display2>Email2",1,1
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2",1,0
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2",1,0
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"competitors2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3",0,1
"competitors2>Email2>display2>Email2>display2>Email2>Email3",0,9
"competitors2>Email2>display2>Email2>Email3",0,8
"competitors2>Email2>display2>Email2>generics2>Email2>Email3>display3>Email3",0,3
"competitors2>Email2>display2>Email2>Mailer2>Email2>Mailer3>Email3>Mailer3>Email3",0,1
"competitors2>Email2>display3",0,2
"competitors2>Email2>display3>Email3",0,1
"competitors2>Email2>Email3",0,282
"competitors2>Email2>Email3>display3>Email3",0,6
"competitors2>Email2>Email3>display3>Email3>generics3",2,0
"competitors2>Email2>Email3>generics3",0,1
"competitors2>Email2>generics2>Email2",0,1
"competitors2>Email2>generics2>Email2>display2>Email2>display2>Email2>Email3",1,2
"competitors2>Email2>generics2>Email2>Email3",0,2
"competitors2>Email2>generics3",0,2
"competitors2>Email2>generics3>display3",0,1
"competitors2>Email3",1,72
"competitors2>Email3>competitors3>display3",0,1
"competitors2>Email3>display3>Email3",0,2
"competitors2>Email3>display3>Email3>display3>Email3>display3>Email3",1,0
"competitors2>Email3>generics3",0,2
"competitors2>generics2",0,4
"competitors2>generics2>competitors2",1,0
"competitors2>generics2>competitors2>Email2>competitors2>Email2>competitors2>Email2>display2>Email2>Email3",0,1
"competitors2>generics2>competitors2>Email2>display2>Email3",0,2
"competitors2>generics2>display2>Email2>display2>Email2>Email3",0,1
"competitors2>generics2>Email2",0,1
"competitors2>generics2>Email2>display2>Email2",1,0
"competitors2>generics2>Email2>Email3",0,3
"competitors2>generics2>Email3",0,2
"competitors2>generics3",0,4
"competitors2>generics3>display3",1,1
"competitors2>generics3>Email3",1,0
"competitors2>generics3>Email3>competitors3>Email3>generics3>Email3>generics3>Email3>generics3",0,1
"competitors2>Mailer2",0,11
"competitors2>Mailer2>display2>Mailer2>Mailer3>display3",0,1
"competitors2>Mailer2>display3",0,2
"competitors2>Mailer2>generics3>display3",0,1
"competitors2>Mailer2>Mailer3",0,7
"competitors2>Mailer3",0,7
"competitors2>social paid2>Email2>Email3",0,1
"display1",0,2
"display1>competitors1>display1>competitors1>display1>competitors1>Email1>display1>Email1>Email2>display2>Email2>Email3",0,2
"display1>competitors1>display1>competitors2>display2>generics2>display2>generics2>display2>competitors2>generics2>competitors2>display2>competitors2>display2>competitors2>display2",0,2
"display1>competitors1>display1>display2",0,1
"display1>competitors1>display1>display2>competitors2",0,1
"display1>competitors1>display1>display2>display3",0,1
"display1>competitors1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",0,2
"display1>competitors1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>Post Card1>Email1>display1>Email1>display1>Email1>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email3>display3>Email3>display3>Email3>display3>Email3",0,2
"display1>competitors1>display1>Email1>Email2",1,1
"display1>competitors1>display1>Email2",0,1
"display1>competitors1>display2",1,3
"display1>competitors1>display2>Mailer2>display2",2,0
"display1>competitors1>Email1>display1>Email1>display1>Email2>display2>Email2>Email3>display3>Email3",0,1
"display1>competitors1>Email1>display1>Email1>Email2>Mailer2>Email2>display2>Email2>Mailer2>Email2>Email3",1,0
"display1>competitors1>Email1>display1>generics1>Email1>generics1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>Email2>generics2>Email2>Email3",1,0
"display1>competitors1>Email1>display1>generics2>Email2>Email3",2,1
"display1>competitors1>Email1>Email2>Email3",0,5
"display1>competitors1>Email2>display2>Email2",2,1
"display1>competitors1>Email2>display3",0,3
"display1>competitors1>Email2>Email3",0,1
"display1>competitors1>Mailer2>Email2>Mailer2>Mailer3>Email3",1,0
"display1>competitors2",0,2
"display1>competitors2>display2",0,3
"display1>competitors2>display2>competitors2>display2",1,1
"display1>competitors2>display2>competitors2>display2>display3>competitors3>display3",1,0
"display1>competitors2>Email2>Email3",0,5
"display1>competitors2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Email3>Mailer3>Email3>Mailer3>Email3>competitors3>Email3",1,0
"display1>display2",68,163
"display1>display2>competitors2",0,1
"display1>display2>competitors2>display2",1,0
"display1>display2>competitors2>display2>display3",0,1
"display1>display2>competitors2>display2>display3>Mailer3",1,1
"display1>display2>competitors2>display2>Email2>display2>Email2>Email3",0,2
"display1>display2>competitors2>generics2>competitors2>generics2>Email2>Email3",2,0
"display1>display2>competitors2>generics2>display3",0,1
"display1>display2>competitors3",0,3
"display1>display2>competitors3>display3>generics3>display3>generics3",0,1
"display1>display2>display3",8,71
"display1>display2>display3>Email3",1,3
"display1>display2>display3>Email3>display3>Email3>display3>Email3",0,3
"display1>display2>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",0,2
"display1>display2>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3",0,1
"display1>display2>display3>generics3>display3>Email3>display3>Email3>display3>Email3>display3",1,1
"display1>display2>display3>social organic3>display3",0,1
"display1>display2>Email2",3,30
"display1>display2>Email2>display2",1,1
"display1>display2>Email2>display2>competitors2",0,1
"display1>display2>Email2>display2>display3",0,1
"display1>display2>Email2>display2>display3>social paid3>display3",0,1
"display1>display2>Email2>display2>Email2",3,3
"display1>display2>Email2>display2>Email2>display2>display3>Email3>display3>Email3",0,1
"display1>display2>Email2>display2>Email2>display2>Email2",2,1
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2",2,0
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email3>display3>Email3>display3>Email3",0,2
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display3>Email3>display3>Email3",1,0
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3",0,2
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>generics3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3",0,3
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3",2,1
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,1
"display1>display2>Email2>display2>Email2>display2>Email2>Email3",2,5
"display1>display2>Email2>display2>Email2>display2>Email2>Mailer2",0,2
"display1>display2>Email2>display2>Email2>display2>Email3>competitors3>display3>Email3",0,1
"display1>display2>Email2>display2>Email2>display2>Email3>display3>Email3>display3>Email3",0,2
"display1>display2>Email2>display2>Email2>Email3",0,13
"display1>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3",0,1
"display1>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",0,1
"display1>display2>Email2>display2>Email2>Mailer2>display2>generics3",0,1
"display1>display2>Email2>display2>Email2>Mailer2>display3",0,1
"display1>display2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer3>Email3>Mailer3>Email3",0,1
"display1>display2>Email2>display2>generics2>display2>generics3>display3>generics3>display3",0,1
"display1>display2>Email2>display2>Mailer2>Email3",0,1
"display1>display2>Email2>display3",0,3
"display1>display2>Email2>display3>Email3",0,1
"display1>display2>Email2>Email3",0,30
"display1>display2>Email2>Email3>display3>Email3",1,2
"display1>display2>Email2>Email3>display3>Email3>display3",0,2
"display1>display2>Email2>generics2",0,1
"display1>display2>Email2>Mailer2",0,1
"display1>display2>Email2>Mailer2>Email2>display2>Email2",1,0
"display1>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>generics2>display2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>Mailer3>Email3>Mailer3>Email3>display3>Email3",0,1
"display1>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display3>Email3>display3",0,1
"display1>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>Email3>Mailer3>Email3>Mailer3>Email3",0,2
"display1>display2>Email2>Mailer2>Email2>display2>Email2>Mailer2",1,0
"display1>display2>Email2>Mailer2>Email2>Email3",1,1
"display1>display2>Email2>Mailer2>Email2>Mailer3>Email3>Mailer3>Email3",0,1
"display1>display2>Email2>Mailer2>Mailer3",1,2
"display1>display2>Email2>Mailer3>Email3>Mailer3>Email3",0,2
"display1>display2>Email3",0,4
"display1>display2>Email3>display3",0,1
"display1>display2>Email3>display3>Email3",0,2
"display1>display2>generics2",0,2
"display1>display2>generics2>display2",2,1
"display1>display2>generics2>display2>display3",2,2
"display1>display2>generics2>display2>generics2",0,1
"display1>display2>generics2>display2>social paid2>generics2>social paid2>display3",1,0
"display1>display2>generics2>display3",0,1
"display1>display2>generics2>Email3",1,0
"display1>display2>generics2>generics3",1,0
"display1>display2>generics3>Email3",0,1
"display1>display2>Mailer2",0,17
"display1>display2>Mailer2>display2",0,3
"display1>display2>Mailer2>display2>display3",0,1
"display1>display2>Mailer2>display2>Email3>display3>Email3>display3>Email3",0,2
"display1>display2>Mailer2>display2>Mailer2>display2",1,1
"display1>display2>Mailer2>display2>Mailer2>display2>display3>Email3>display3>Email3>display3>Email3",0,2
"display1>display2>Mailer2>display2>Mailer2>display2>Mailer2>display2>Mailer2>display2",0,1
"display1>display2>Mailer2>display2>Mailer2>display2>Mailer2>display2>Mailer2>display2>display3",1,3
"display1>display2>Mailer2>display2>Mailer2>display2>Mailer3>display3>Mailer3>display3>social organic3>display3>social organic3>display3",1,1
"display1>display2>Mailer2>display2>Mailer3",1,0
"display1>display2>Mailer2>display3",0,2
"display1>display2>Mailer2>Email2>display2>Email2",0,1
"display1>display2>Mailer2>Email2>Mailer2>Email2>display2>Email2>Email3>Mailer3>Email3",0,2
"display1>display2>Mailer2>Email3",0,1
"display1>display2>Mailer2>Mailer3",0,2
"display1>display2>Mailer3",0,1
"display1>Email1>competitors1>Email1>Email2>generics2>display2>Email2>display2>Email2>Email3",0,1
"display1>Email1>competitors1>Email2>Email3",0,2
"display1>Email1>competitors1>Mailer2>Email2>Mailer2",1,3
"display1>Email1>display1>display2",0,4
"display1>Email1>display1>display2>Email2",0,4
"display1>Email1>display1>display2>Email2>display2",0,1
"display1>Email1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>display3>competitors3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",0,1
"display1>Email1>display1>display2>social paid2>display2>generics2>display2>display3>Email3>display3",0,1
"display1>Email1>display1>Email1>competitors1>display1>Email1>display1>Email1>Mailer2>display2>Mailer2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer3>Email3>Mailer3>Email3",1,0
"display1>Email1>display1>Email1>display1>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3",0,1
"display1>Email1>display1>Email1>display1>display2>Mailer2>display2>Email2>Mailer2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",0,1
"display1>Email1>display1>Email1>display1>Email1>competitors1>Email1>Email2>Email3",0,2
"display1>Email1>display1>Email1>display1>Email1>display1>display2>display3",0,1
"display1>Email1>display1>Email1>display1>Email1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Mailer2",0,1
"display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>display2>Email2>Email3>display3>Email3>display3>Email3>display3>Email3",0,1
"display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3",0,2
"display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Email3>display3>Email3>display3",0,1
"display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Mailer2>Email2>display2>Email2>display2>Email2>display2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>display2>Mailer2>display2>Email2>display2>Mailer2>display2>Email2>display2>Email2>Mailer3>display3>Mailer3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3>Email3>display3",3,1
"display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display1>Email1>display2>Mailer2>Email2>display2>Email2>display2>Email2>display2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Mailer2>Email2>Email3>Mailer3>Email3>Mailer3>Email3",0,3
